,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FGA_1,FG%_1,3PTA_1,3PT%_1,FTA_1,FT%_1,ORebounds_1,DRebounds_1,Assits_1,Turnovers_1,Steals_1,Blocks_1,Fouls_1,FGA_2,FG%_2,3PTA_2,3PT%_2,FTA_2,FT%_2,ORebounds_2,DRebounds_2,Assits_2,Turnovers_2,Steals_2,Blocks_2,Fouls_2,Winner (first team = 1 sec team = 0),FG Diff,FG% Diff,3pt Diff,3P% Diff,FT Diff,FT% Diff,Assist Diff,Turnover Diff,O Rebounds Diff,D Rebounds Diff,Steals Diff,Blocks Diff,Foul Diff,Winner (first team = 1 sec team = 0)
,Lose,87,46,45,33.3,28,75,7,41,26,20,6,2,18,101,47.5,35,31.4,18,72.2,12,38,19,17,11,3,24,0,-14,-1.5,10,1.9,10,2.8,7,3,-5,3,-5,-1,-6,0
,,87,43.7,40,30,26,73.1,6,33,17,10,8,6,14,92,51.1,39,33.3,20,80,11,42,26,15,3,6,20,0,-5,-7.4,1,-3.3,6,-6.9,-9,-5,-5,-9,5,0,-6,0
,,76,43.4,39,23.1,26,69.2,5,31,27,15,5,6,17,90,48.9,25,40,21,71.4,11,35,18,10,10,2,26,0,-14,-5.5,14,-16.9,5,-2.2,9,5,-6,-4,-5,4,-9,0
,,84,41.7,46,23.9,34,82.4,10,28,17,14,9,12,21,91,46.2,33,27.3,28,85.7,15,38,19,18,7,1,26,0,-7,-4.5,13,-3.4,6,-3.3,-2,-4,-5,-10,2,11,-5,0
,,89,34.8,47,25.5,21,85.7,11,43,22,17,7,7,17,86,38.4,29,41.4,19,89.5,6,40,20,13,9,3,18,0,3,-3.6,18,-15.9,2,-3.8,2,4,5,3,-2,4,-1,0
Brooklyn Nets,Win,90,55.6,28,50,14,100,7,41,32,9,8,7,19,83,36.1,34,23.5,22,81.8,7,32,18,13,4,3,15,1,7,19.5,-6,26.5,-8,18.2,14,-4,0,9,4,4,4,1
,,84,39.3,36,33.3,22,90.9,9,32,23,11,8,10,21,86,37.2,42,33.3,23,69.6,13,37,22,15,3,6,21,1,-2,2.1,-6,0,-1,21.3,1,-4,-4,-5,5,4,0,1
,,87,48.3,34,41.2,20,70,11,44,30,15,11,5,22,87,32.2,43,27.9,26,65.4,11,35,21,15,5,4,18,1,0,16.1,-9,13.3,-6,4.6,9,0,0,9,6,1,4,1
,,83,48.2,35,45.7,21,66.7,6,35,27,13,9,6,18,85,40,31,35.5,20,80,10,36,22,18,4,6,17,1,-2,8.2,4,10.2,1,-13.3,5,-5,-4,-1,5,0,1,1
,,79,50.6,29,37.9,23,78.3,5,42,32,17,4,5,24,93,38.7,36,36.1,27,81.5,8,31,22,10,9,5,22,1,-14,11.9,-7,1.8,-4,-3.2,10,7,-3,11,-5,0,2,1
,Lose,88,53.4,41,36.6,10,80,5,33,27,19,2,8,28,86,50,34,35.3,38,78.9,5,36,28,10,13,4,11,0,2,3.4,7,1.3,-28,1.1,-1,9,0,-3,-11,4,17,0
,,84,40.5,26,34.6,22,68.2,11,34,17,15,6,7,18,81,43.2,38,39.5,20,90,8,40,18,17,11,9,19,0,3,-2.7,-12,-4.9,2,-21.8,-1,-2,3,-6,-5,-2,-1,0
,,91,46.2,37,32.4,21,76.2,5,29,24,11,9,7,22,81,53.1,20,40,29,93.1,6,40,21,17,7,7,16,0,10,-6.9,17,-7.6,-8,-16.9,3,-6,-1,-11,2,0,6,0
,,84,45.2,34,38.2,11,81.8,4,27,26,12,8,9,19,86,47.7,36,33.3,17,88.2,12,36,23,14,4,6,15,0,-2,-2.5,-2,4.9,-6,-6.4,3,-2,-8,-9,4,3,4,0
,,91,42.9,41,29.3,19,63.2,14,37,24,16,4,7,21,90,44.4,31,38.7,26,76.9,11,39,21,9,5,7,14,0,1,-1.5,10,-9.4,-7,-13.7,3,7,3,-2,-1,0,7,0
Charlotte Hornets,Win,88,47.7,35,20,24,87.5,14,23,22,13,15,7,23,88,40.9,36,38.9,23,82.6,22,26,23,22,3,7,18,1,0,6.8,-1,-18.9,1,4.9,-1,-9,-8,-3,12,0,5,1
,,92,47.8,23,26.1,21,61.9,11,33,25,16,8,1,15,86,44.2,38,23.7,18,88.9,8,37,20,19,9,3,23,1,6,3.6,-15,2.4,3,-27,5,-3,3,-4,-1,-2,-8,1
,,89,44.9,25,32,32,68.8,15,40,24,18,6,4,18,96,42.7,41,22,18,94.4,11,34,24,16,7,9,27,1,-7,2.2,-16,10,14,-25.6,0,2,4,6,-1,-5,-9,1
,,95,42.1,29,41.4,31,80.6,19,26,25,4,6,3,24,86,45.3,33,36.4,35,74.3,18,38,23,14,3,9,23,1,9,-3.2,-4,5,-4,6.3,2,-10,1,-12,3,-6,1,1
,,95,51.6,31,32.3,23,73.9,11,45,26,14,4,7,25,95,47.4,33,36.4,31,54.8,10,32,23,8,8,2,23,1,0,4.2,-2,-4.1,-8,19.1,3,6,1,13,-4,5,2,1
,Lose,100,39,32,25,23,69.6,15,36,19,13,5,5,18,93,43,34,38.2,18,72.2,14,35,19,17,6,13,19,0,7,-4,-2,-13.2,5,-2.6,0,-4,1,1,-1,-8,-1,0
,,86,48.8,29,37.9,15,66.7,13,24,28,20,7,2,14,93,59.1,52,46.2,7,85.7,9,30,40,16,10,5,18,0,-7,-10.3,-23,-8.3,8,-19,-12,4,4,-6,-3,-3,-4,0
,,87,39.1,24,20.8,26,88.5,9,35,15,14,9,4,19,83,47,32,37.5,19,78.9,8,39,24,22,5,8,17,0,4,-7.9,-8,-16.7,7,9.6,-9,-8,1,-4,4,-4,2,0
,,98,48,34,35.3,17,64.7,14,35,29,10,8,4,16,93,48.4,36,41.7,21,66.7,13,34,30,12,4,5,17,0,5,-0.4,-2,-6.4,-4,-2,-1,-2,1,1,4,-1,-1,0
,,88,53.4,24,41.7,23,52.2,10,30,25,11,4,3,18,86,57,31,38.7,16,75,5,34,33,11,3,8,20,0,2,-3.6,-7,3,7,-22.8,-8,0,5,-4,1,-5,-2,0
Chicago Bulls,Win,89,43.8,30,40,21,85.7,11,33,20,10,8,4,13,74,48.6,32,37.5,19,78.9,4,34,27,18,4,7,20,1,15,-4.8,-2,2.5,2,6.8,-7,-8,7,-1,4,-3,-7,1
,,88,43.2,31,45.2,18,88.9,11,40,28,20,6,9,18,92,39.1,32,21.9,16,56.3,13,34,22,17,12,12,14,1,-4,4.1,-1,23.3,2,32.6,6,3,-2,6,-6,-3,4,1
,,80,52.5,28,32.1,22,81.8,9,40,30,22,7,7,21,85,42.4,28,32.1,22,72.7,5,26,24,15,10,7,20,1,-5,10.1,0,0,0,9.1,6,7,4,14,-3,0,1,1
,,89,51.7,29,48.3,20,75,8,43,26,15,10,1,19,87,43.7,50,38,17,70.6,5,33,28,15,3,4,18,1,2,8,-21,10.3,3,4.4,-2,0,3,10,7,-3,1,1
,,87,49.4,42,42.9,18,77.8,5,30,30,13,9,12,20,90,45.6,38,31.6,25,76,11,37,24,20,5,3,17,1,-3,3.8,4,11.3,-7,1.8,6,-7,-6,-7,4,9,3,1
,Lose,82,50,25,16,33,81.8,5,30,21,12,5,6,19,93,52.7,33,45.5,21,90.5,10,36,22,14,3,5,28,0,-11,-2.7,-8,-29.5,12,-8.7,-1,-2,-5,-6,2,1,-9,0
,,93,46.2,27,33.3,24,66.7,6,38,28,12,7,1,28,87,48.3,50,40,23,65.2,7,43,32,20,2,5,19,0,6,-2.1,-23,-6.7,1,1.5,-4,-8,-1,-5,5,-4,9,0
,,86,44.2,25,36,19,84.2,7,32,17,16,9,5,16,86,46.5,43,30.2,19,89.5,5,41,30,19,10,2,17,0,0,-2.3,-18,5.8,0,-5.3,-13,-3,2,-9,-1,3,-1,0
,,100,48,27,25.9,23,82.6,13,40,28,19,11,6,21,98,48,39,33.3,21,76.2,8,37,28,15,3,6,22,0,2,0,-12,-7.4,2,6.4,0,4,5,3,8,0,-1,0
